workerid,rt,bin,story,max,name,min,chosen_direction,gender,measure,pairs,give_number_question,tag,similar_to_whose_experiment,unchosen_contrast,backstory,type,response,bins,binned_histogram_prompt,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.clicks,Answer.time_in_minutes
0,6340,NA,The movie was K minutes long,210,Deborah,0,left,female,lightning,"[[u'15-30', u'0-15'], [u'75-90', u'15-30'], [u'150-165', u'195-210'], [u'150-165', u'75-90'], [u'195-210', u'210 or more']]",How many minutes long do you think the movie was?,movies,ciyang,The movie was 0-15 minutes long.,X just went to the movies to see a blockbuster,duration,The movie was 15-30 minutes long.,"[u'0-15', u'15-30', u'30-45', u'45-60', u'60-75', u'75-90', u'90-105', u'105-120', u'120-135', u'135-150', u'150-165', u'165-180', u'180-195', u'195-210', u'210 or more']",Please rate how likely it is that the movie was the following numbers of minutes long.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,2154,NA,The movie was K minutes long,210,Deborah,0,left,female,lightning,"[[u'15-30', u'0-15'], [u'75-90', u'15-30'], [u'150-165', u'195-210'], [u'150-165', u'75-90'], [u'195-210', u'210 or more']]",How many minutes long do you think the movie was?,movies,ciyang,The movie was 15-30 minutes long.,X just went to the movies to see a blockbuster,duration,The movie was 75-90 minutes long.,"[u'0-15', u'15-30', u'30-45', u'45-60', u'60-75', u'75-90', u'90-105', u'105-120', u'120-135', u'135-150', u'150-165', u'165-180', u'180-195', u'195-210', u'210 or more']",Please rate how likely it is that the movie was the following numbers of minutes long.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,2901,NA,The movie was K minutes long,210,Deborah,0,left,female,lightning,"[[u'15-30', u'0-15'], [u'75-90', u'15-30'], [u'150-165', u'195-210'], [u'150-165', u'75-90'], [u'195-210', u'210 or more']]",How many minutes long do you think the movie was?,movies,ciyang,The movie was 195-210 minutes long.,X just went to the movies to see a blockbuster,duration,The movie was 150-165 minutes long.,"[u'0-15', u'15-30', u'30-45', u'45-60', u'60-75', u'75-90', u'90-105', u'105-120', u'120-135', u'135-150', u'150-165', u'165-180', u'180-195', u'195-210', u'210 or more']",Please rate how likely it is that the movie was the following numbers of minutes long.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,3063,NA,The movie was K minutes long,210,Deborah,0,left,female,lightning,"[[u'15-30', u'0-15'], [u'75-90', u'15-30'], [u'150-165', u'195-210'], [u'150-165', u'75-90'], [u'195-210', u'210 or more']]",How many minutes long do you think the movie was?,movies,ciyang,The movie was 75-90 minutes long.,X just went to the movies to see a blockbuster,duration,The movie was 150-165 minutes long.,"[u'0-15', u'15-30', u'30-45', u'45-60', u'60-75', u'75-90', u'90-105', u'105-120', u'120-135', u'135-150', u'150-165', u'165-180', u'180-195', u'195-210', u'210 or more']",Please rate how likely it is that the movie was the following numbers of minutes long.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,1841,NA,The movie was K minutes long,210,Deborah,0,left,female,lightning,"[[u'15-30', u'0-15'], [u'75-90', u'15-30'], [u'150-165', u'195-210'], [u'150-165', u'75-90'], [u'195-210', u'210 or more']]",How many minutes long do you think the movie was?,movies,ciyang,The movie was 210 or more minutes long.,X just went to the movies to see a blockbuster,duration,The movie was 195-210 minutes long.,"[u'0-15', u'15-30', u'30-45', u'45-60', u'60-75', u'75-90', u'90-105', u'105-120', u'120-135', u'135-150', u'150-165', u'165-180', u'180-195', u'195-210', u'210 or more']",Please rate how likely it is that the movie was the following numbers of minutes long.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,8417,NA,She commuted for K minutes,98,Carolyn,0,NA,female,give_number,NA,How many minutes do you think she spent commuting yesterday?,commute,anthea,NA,X commuted to work yesterday,duration,45,"[u'0-6', u'7-13', u'14-20', u'21-27', u'28-34', u'35-41', u'42-48', u'49-55', u'56-62', u'63-69', u'70-76', u'77-83', u'84-90', u'91-97', u'98 or more']",Please rate how likely it is that she commuted for the following numbers of minutes yesterday.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,6898,NA,The laptop cost K,7500,Amanda,0,NA,female,give_number,NA,How much do you think it cost?,laptop,justine,NA,X bought a laptop,price,1275,"[u'$0-$500', u'$500-$1000', u'$1000-$1500', u'$1500-$2000', u'$2000-$2500', u'$2500-$3000', u'$3000-$3500', u'$3500-$4000', u'$4000-$4500', u'$4500-$5000', u'$5000-$5500', u'$5500-$6000', u'$6000-$6500', u'$6500-$7000', u'more than $7500']",Please rate how likely it is that the laptop cost the following amounts of money.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,31296,0,K of the kids laughed,14,Jeffrey,0,NA,male,binned_histogram,NA,How many of the kids do you think laughed?,joke,judith,NA,X told a joke to N kids,event,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",Please rate how likely it is that the following numbers of kids laughed.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,31296,1,K of the kids laughed,14,Jeffrey,0,NA,male,binned_histogram,NA,How many of the kids do you think laughed?,joke,judith,NA,X told a joke to N kids,event,0.26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",Please rate how likely it is that the following numbers of kids laughed.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
0,31296,2,K of the kids laughed,14,Jeffrey,0,NA,male,binned_histogram,NA,How many of the kids do you think laughed?,joke,judith,NA,X told a joke to N kids,event,0.28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",Please rate how likely it is that the following numbers of kids laughed.,english,2,Female,27,"I liked the HIT, please post more!",Yes,3,Windows,900,1600,Chrome,3TRB893CSJAIGY5JVCQGL5E7CKQG74,324B845PFR5S6QGELK17CI2BW22C47,Everyday quantities,A 30-minute long experiment where you estimate everyday quantities.,"lingistics, science, philosophy, experiments, prices, game, fun, stanford, survey",$2.50,Mon May 25 07:04:46 PDT 2015,20,0,0,20,Reviewable,NotReviewed,,12000,0,Mon Jun 08 07:04:46 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3TRB893CSJAIGY5JVCQGL5E7CKQG74,3A1PQ49WVHHLSSJMG4WRUFUF50H1H0,0,Approved,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:05:05 PDT 2015,Mon May 25 07:14:07 PDT 2015,Mon May 25 07:18:37 PDT 2015,,,,,undefined,{},[],8.889716666666667
